adress,price,property type,type of sale, number of rooms, garden, surface area of the plot of land, living area, furnished, terrace, fully equiped kitchen, swimmingpool, states of building, open fire
"Brusselsesteenweg40,1500Hal,BE",210000€,Maison,normal sale,2,No,1.66 are,101 m²,No,Yes,No,No,old property,No informations
Ask to get the adress,212300€,Maison,normal sale,2,No,No information,89 m²,No,Yes,No,No,New,No informations
Ask to get the adress,215000€,Maison,normal sale,3,No,No information,141 m²,No,No,No,No,old property,No informations
"Opgeëistenstraat135,9600Renaix,BE",215000€,Maison,normal sale,4,No,0.83 are,150 m²,No,No,Yes,No,New,No informations
"Opgeëistenstraat135,9600Renaix,BE",215000€,Maison,normal sale,4,No,0.83 are,150 m²,No,No,Yes,No,New,No informations
Ask to get the adress,215000€,Maison,normal sale,3,No,1.49 are,100 m²,No,Yes,No,No,old property,No informations
"RueJosephHalkin32,4000Liege,BE",215000€,Maison,normal sale,2,No,2.56 ares,77 m²,No,Yes,No,No,old property,No informations
"Helihavenlaan48,1000Bruxelles,BE",215000€,Maison,normal sale,2,No,No information,,No,No,Yes,No,old property,No informations
"Ruedesviaducs,7020Nimy,BE",217500€,Maison,normal sale,2,No,No information,105 m²,No,Yes,No,No,New,No informations
"Ruedesviaducs,7020Nimy,BE",218500€,Maison,normal sale,1,No,No information,107 m²,No,Yes,No,No,New,No informations
"FransBirontlaan1,2600Berchem,BE",219900€,Maison,normal sale,1,No,No information,55 m²,No,Yes,No,No,old property,No informations
"Franslaan94,8620Nieuport,BE",220000€,Maison,normal sale,1,No,No information,,Yes,No,No,No,old property,No informations
"Vlierzeledorp5,9520Vlierzele,BE",220000€,Maison,normal sale,2,No,No information,97 m²,No,Yes,No,No,old property,No informations
"LouisMettewielaan62,1080MolenbeekSaintJean,BE",220000€,Maison,normal sale,2,No,No information,,No,Yes,Yes,No,old property,No informations
Ask to get the adress,223000€,Maison,normal sale,2,No,No information,,No,No,No,No,old property,No informations
"Runkstersteenweg293,3500Hasselt,BE",223000€,Maison,normal sale,4,No,No information,165 m²,No,No,No,No,old property,No informations
"RoutedeForrières,5580Rochefort,BE",225000€,Maison,normal sale,3,No,No information,,No,No,No,No,New,No informations
"RueHenriEvenepoel109,1030Schaerbeek,BE",225000€,Maison,normal sale,1,No,No information,61 m²,No,Yes,No,No,old property,No informations
Ask to get the adress,225000€,Maison,normal sale,3,No,10 ares,150 m²,No,No,No,No,old property,No informations
"RueFernandLacroix,4520Antheit,BE",225000€,Maison,normal sale,3,No,4.1 ares,130 m²,No,Yes,No,No,old property,No informations
"Lombardsijdelaan171,8434Lombardsijde,BE",225000€,Maison,normal sale,3,No,2.45 ares,60 m²,No,Yes,No,No,old property,No informations
Ask to get the adress,227500€,Maison,normal sale,3,No,No information,,No,No,No,No,old property,No informations
"Zeelandstraat87,2660Hoboken,BE",227500€,Maison,normal sale,2,No,1.21 are,,No,Yes,Yes,No,old property,No informations
"AlbertIlaan97,8620Nieuport,BE",229000€,Maison,normal sale,1,No,No information,,No,Yes,Yes,No,old property,No informations
"VanGeertstraat29,2140Borgerhout,BE",229000€,Maison,normal sale,1,Yes/ 0.5are,No information,,No,No,Yes,No,old property,No informations
"Bulskampstraat66,8630Furnes,BE",229000€,Maison,normal sale,4,No,1.76 are,166 m²,No,No,No,No,New,No informations
"Doornikseweg16,8587Espierres,BE",229500€,Maison,normal sale,2,No,6.51 ares,182 m²,No,No,Yes,No,New,No informations
"RueFernandLacroix,4520Antheit,BE",229500€,Maison,normal sale,3,No,4.3 ares,130 m²,No,Yes,No,No,old property,No informations
"AvenuedeSeptembre8A,1200WoluweSaintLambert,BE",230000€,Maison,normal sale,1,No,No information,66 m²,No,Yes,No,No,old property,No informations
"Heinsberg15,8570Anzegem,BE",230000€,Maison,normal sale,3,No,3.23 ares,210 m²,No,No,Yes,No,New,No informations
"Heinsberg15,8573Tiegem,BE",230000€,Maison,normal sale,3,No,3.23 ares,210 m²,No,No,Yes,No,New,No informations
"WouterHaecklaan1,2100Deurne,BE",234900€,Maison,normal sale,3,No,No information,130 m²,No,Yes,No,No,old property,No informations
"Mechelbaan476,2580Putte,BE",235000€,Maison,normal sale,2,No,No information,85 m²,No,No,No,No,old property,No informations
"Vaartstraat49,2235Hulshout,BE",235000€,Maison,normal sale,2,No,No information,90 m²,No,No,No,No,old property,No informations
"RueFernandLacroix,4520Antheit,BE",235000€,Maison,normal sale,3,No,4.65 ares,130 m²,No,Yes,No,No,old property,No informations
"Steenbakkerstraat27,8580Avelgem,BE",237000€,Maison,normal sale,3,Yes/ 6ares,7.8 ares,216 m²,No,No,Yes,No,New,No informations
"JozefCuyversstraat7,2610Wilrijk,BE",239000€,Maison,normal sale,2,Yes/ 0.3are,0.94 are,,No,Yes,Yes,No,old property,No informations
"KoningAlbertII-laan49,1030Schaerbeek,BE",239000€,Maison,normal sale,1,No,No information,,No,No,Yes,No,old property,No informations
